address,pred-POI,truth-POI,pred-building,truth-building,pred-unit,truth-unit,pred-floor,truth-floor,pred-room,truth-room
澳门新村-78栋 (78栋607房),澳门新村,澳门新村,78栋,78栋,,,6,6,607房,607
碧桂园阳光苑 (108铺),碧桂园阳光苑,碧桂园阳光苑 ,,,,,1,1,108铺,108
星河丹堤e区-1栋 (星河丹提e[UNK]1[UNK]1002),星河丹堤e区,星河丹堤e区,1栋,栋,,1,10,10,1002,1002
为食湘赣菜馆 (长坑三巷10-4 a栋205(单开的小铁门楼梯进来)),为食湘赣菜馆 (长坑三巷10-4)),为食湘赣菜馆 (长坑三巷10-4),a栋,a栋,,,2,2,205,205
华侨城北站壹号-公寓楼 (公寓楼26楼2607),华侨城北站壹号-公寓楼,华侨城北站壹号-,,公寓楼,,,26,26,2607,2607
横岭一区-31栋 (横岭一区31栋，网吧27号机子),横岭一区,横岭一区,31栋,31栋,,,,,,27号
溪山美地园-北门 (邻里中心2楼能基建筑),溪山美地园-北门,溪山美地园-北门 ,,,,,2楼,2,,
1970科技小镇-1栋 (1970科技小镇1栋209[UNK]3a[UNK]1),1970科技小镇,1970科技小镇,1栋,1栋,,3a,2,2,209a,209
万科第五园3期 (坂田雅园路万科第五园三期揽月居a1704及1705),坂田雅园路万科第五园三期,坂田雅园路万科第五园三期揽月居,,a,a,,17,17,1704及1705,1704
金方华电商产业园(雅园路)-6栋 (b101),金方华电商产业园(雅园路),金方华电商产业园(雅园路),6栋,6栋,b,,1,1,101,b101
龙华区人民医院水榭春天社区健康服务中心 (水榭春天一期商铺2054),龙华区人民医院水榭春天社区健康服务中心,龙华区人民医院水榭春天社区健康服务中心 ,,,,,20,20,2054,2054
南星河world二期-e座 (深圳龙华坂田，星河world  e座5楼503室),南星河world二期,南星河world二期,e座,e座,,,5,5楼,503室,503室
云杉医疗·云杉云里医院 (四楼405),云杉医疗·云杉云里医院,云杉医疗·云杉云里医院,,,,,四楼4,4,405,405
东莞福瑞祥家具有限公司 (金碧路216号同安厂),东莞福瑞祥家具有限公司 (金碧路216号同安厂),东莞福瑞祥家具有限公司 (金碧路216号),,,,,,,,
万科双语学校 (万科双语学校),万科双语学校 ,万科双语学校,,,,,,,,
8号仓奥特莱斯 (一楼l113coach(周大福斜对面)),8号仓奥特莱斯,8号仓奥特莱斯,,,,,一楼,一楼,,l113
银濠花园酒店-b1栋 (5楼),银濠花园酒店,银濠花园酒店,b1栋,b1栋,,,5楼,5,,
智慧家园-二期-3a (3a栋8楼比亚迪办公区),智慧家园-二期,智慧家园-二期,3a栋,3a栋,,,8,8楼,,
天福便利店 (九巷3号天福便利店2楼205),天福便利店 (九巷3号天福便利店),天福便利店 (九巷3号),,,,,2楼,2,205,205
莱蒙·水榭春天6期 (a区1栋7b),莱蒙·水榭春天6期a区,莱蒙·水榭春天6期 (a区),1栋,1栋,,,7,7,b,b
智慧谷 (701睿启致行),智慧谷,智慧谷(睿启致行),,,,,7,,701,701
五和大道100号 (民乐工业园c栋205(请送上楼)),五和大道100号 (民乐工业园)),五和大道100号 (民乐工业园),c栋,c栋,,,2,2,205,205
青创城 (c栋4楼桑椹进门柜子上),青创城,青创城 ,c栋,c栋,,,4楼,4,,
卓越皇后道 (6b23c),卓越皇后道,卓越皇后道,6b,6,,b,23,23,c,c
a国际区-4号门 (二楼 223 走廊门口桌子),a国际区-4号门,a国际区-4号门,,,,,二楼,2,223,223
众库便利店(龙园店) (旁边的小巷子进来b1-402),众库便利店(龙园店),众库便利店(龙园店),b1,,,,4,b1,402,402
侯宝斋文化创意产业园 (g栋15小时服饰4楼),侯宝斋文化创意产业园,侯宝斋文化创意产业园,g栋,g栋,,,14楼,4楼,,
坂田国际中心-c1座 (6楼613),坂田国际中心,坂田国际中心,c1座,c1座,,,6楼,6,613,613
深圳市龙华公寓 (c栋3207放门口，不需要敲门。),深圳市龙华公寓,深圳市龙华公寓 ,c栋,c栋,,,32,32,3207,3207
和成嘉业名园-4号楼 (4栋2404),和成嘉业名园,和成嘉业名园-4号楼,4栋,4栋,,,24,24,2404,2404
长坑区三巷15b (长坑三巷15号a座506),长坑区三巷,长坑三巷15号,15号a座,a座,,,,5,506,506
向南商业大厦 (广东省深圳市龙华区向南四区24号5楼),向南商业大厦 (广东省深圳市龙华区向南四区24号),广东省深圳市龙华区向南四区24号,,,,,5楼,5楼,,
和磡工业区-b2栋 (深圳向日葵公司),和磡工业区,和磡工业区(深圳向日葵公司),b2栋,b2栋,,,,,,
hbc汇隆中心-南塔公寓楼 (1708室),hbc汇隆中心-南塔公寓楼,hbc汇隆中心,,,,,17,17,1708室,1708室
华南物流中心5号仓 (阿里巴巴博丰深圳仓),华南物流中心5号仓 (阿里巴巴博丰深圳仓),华南物流中心5号仓(阿里巴巴博丰深圳仓),,,,,,,,
你的堡炙烤厚牛芝士堡(五和店) (五巷11号101你的堡),你的堡炙烤厚牛芝士堡(五和店),你的堡炙烤厚牛芝士堡(五和店) (五巷1号),,,,,,1,101,101
京东都市-c栋 (深圳市龙岗区坂田街道大发埔社区布龙路663号京东都市c栋409),都深圳市龙岗区坂田街道大发埔社区布龙路663号京东都市,深圳市龙岗区坂田街道大发埔社区布龙路663号京东都市,c栋,c栋,,,4,4,409,409
星河worldtowerb (b座25楼2503金凯富),星河worldtower,星河worldtower,b座,b座,,,25,25楼,2503,2503
和瑞大厦 (地址：和瑞大厦南门一栋11楼),和瑞大厦址：瑞大厦南门,和瑞大厦,一栋,一栋,,,11楼,11楼,,
星河world-d座 (二楼外卖柜),星河world,星河world,d座,d座,,,二楼,二楼,,外卖柜
书香门第·上河坊(民塘路) (秋声2栋613),书香门第·上河坊(民塘路) (),书香门第·上河坊(民塘路),2栋,2栋,,,6,6,613,613
中央原著 (北区3栋10b),中央原著 (北区),中央原著,3栋,3栋,,,10,10,b,b
宝龙小区(鹏达路) (宝龙东四巷1号),宝龙小区(鹏达路) (宝龙东四巷1号),宝龙小区(鹏达路) (宝龙东四巷),,1号,,,,,,
万象天成11栋 (b902室),万象天成,万象天成,11栋,11栋,b,,9,9,902室,b902
绿景公馆1866 (北区b栋19a),绿景公馆1866,绿景公馆1866,b栋,b栋,,,19,19,a,19a
金地上塘道二期-停车场 (深圳市龙华区金地上塘道二期地下停车场106岗亭),深圳市龙华区金地上塘道二期地下停车场,金地上塘道二期-停车场 (深圳市龙华区金地上塘道二期地下停车场106岗亭),,,,,1,,106岗亭,
华润银行龙华支行(龙华支行) (华润银行龙华支行),华润银行龙华支行,华润银行龙华支行(龙华支行),,,,,,,,
金亨利·瑜璟苑 (2期d1栋903),金亨利·瑜璟苑,金亨利·瑜璟苑 (2期),d1栋,d1栋,,,9,9,903,903
格泰隆工业园-c栋 (格泰隆工业园c栋2楼),格泰隆工业园,格泰隆工业园,c栋,c栋,,,2,2楼,,
家和花园北区 (南坑村北3巷7号507),家和花园北区 (南坑村北3巷7号),家和花园北区(南坑村北3巷7号),,,,,5,5,507,507
莱蒙·水榭春天 (1期海棠苑3栋8a),莱蒙·水榭春天 (1期海棠苑),莱蒙·水榭春天,3栋,3栋,,,8,8,a,a
春华四季园 (5栋5a 左手边电梯),春华四季园,春华四季园 ,栋,栋,,,5,5,a,a
禾胜智能园 (1栋301 凤仪堂公司),禾胜智能园,禾胜智能园 ,1栋,1栋,,,3,3,301,301
珠江·旭景佳园 (一期3栋b单元904),珠江·旭景佳园,珠江·旭景佳园一期,3栋,3栋,b单元,b单元,9,9,904,904
海王星辰健康药房(深圳新鸿花园店) (吉祥中路海王星辰),海王星辰健康药房(深圳新鸿花园店) (吉祥中路海王星辰),海王星辰健康药房(深圳新鸿花园店),,,,,,,,
珠江·旭景佳园 (一期3c1804),珠江·旭景佳园,珠江·旭景佳园,3c,3,,c,18,18,1804,1804
桐芯堂大药房(天曜分店) (安宏基天曜广场桐芯堂大药房),安宏基天曜广场桐芯堂大药房),桐芯堂大药房(天曜分店) ,,,,,,,,
金地梅陇镇花园1期 (2栋3单元8b室),金地梅陇镇花园1期,金地梅陇镇花园1期,2栋,2栋,3单元,3单元,8,8,b室,b
深圳市龙华区实验学校-东北门 (东门东门),深圳市龙华区实验学校-东北门 ,深圳市龙华区实验学校-东门,,,,,,,,
锦锈江南(东门) (二期4栋661号商铺清友荟商行),锦锈江南(东门) (二期),锦锈江南(东门) (二期),4栋,4栋,,,,,661号,661
金地梅陇镇二期 (9栋一单元4b),金地梅陇镇二期,金地梅陇镇二期 ,9栋,9栋,一单元,一单元,4,4,b,b
星河world·coco park-a栋 (17楼),星河world·coco park,星河world·coco park,a栋,a栋,,,17楼,17,,
永甘路 (54号a601),永甘路,永甘路 ,54号,54号,a,a,6,6,601,601
恩维传媒 (7栋135-136后门),恩维传媒,恩维传媒,7栋,7栋,,,1,,135-1,
沙吓新二村-129号楼 (102),沙吓新二村,沙吓新二村,29号楼,29号楼,,,1,1,102,102
水尾一区-42栋 (吉瑞公寓402),水尾一区,水尾一区,2栋,2栋,,,4,4,402,402
万科四季花城(南区) (永甘路54号 1308),万科四季花城(南区) (永甘路54号),万科四季花城(南区),,,,,13,13,1308,1308
锦祥大厦 (对面一巷一号),锦祥大厦 (对面一巷一号),锦祥大厦 (对面一巷号),,,,,,,,
蔚来交付中心(深圳坂田) (前台(到了前台打给我 谢谢)),蔚来交付中心(深圳坂田),蔚来交付中心(深圳坂田) (前台),,,,,,,,
天鸿公寓 -a栋 (4楼405),天鸿公寓,天鸿公寓,a栋,a栋,,,4,4楼,405,405
盛游网吧 (80号机),盛游网吧,盛游网吧 ,80,,,,,,,80
龙光玖钻-4e栋 (龙光玖钻南期4e栋22楼2206麻烦送上楼),龙光玖钻钻,龙光玖钻,4e栋,4e栋,,,22,22楼,2206,2206
万科星火天璇仓 (7栋223号),万科星火天璇仓,万科星火天璇仓,7栋,7栋,,,2,2,223号,223
金地上塘道二期 (106岗停车场金地物业东莞物业办公室),金地上塘道二期车地物业东莞物业办公室,金地上塘道二期 (106岗停车场金地物业东莞物业办公室),,,,,,,106,
8号仓奥特莱斯 (八号仓l325(江博士)),8号仓奥特莱斯,8号仓奥特莱斯,,,,,3,,325,
龙光玖龙荟购物中心 (3n036),龙光玖龙荟购物中心,龙光玖龙荟购物中心,3,,n,n,,3,036,36
星河world tower e (16楼北京磐石),星河world tower,星河world towr ,,e,,,16楼,16,,
馨园二期-7栋 (馨园二期7栋1单元204(大润发方向 馨园山庄南门),馨园二期,馨园二期(大润发方向 馨园山庄南门),7栋,7栋,1单元,1单元,2,2,204,204
星河银湖谷-5栋 (龙岗区星河银湖谷5栋0单元30层3005),星河银湖谷,星河银湖谷,5栋,5栋,0单元,0单元,30,30层,3005,3005
深圳滋厚中医(综合)诊所 (深圳滋厚诊所),深圳滋厚中医(综合)诊所 ,深圳滋厚中医(综合)诊所 (深圳滋厚诊所),,,,,,,,
草莓田少儿美术(富豪花园店) (云族创客中心2楼),草莓田少儿美术(富豪花园店) ,草莓田少儿美术(富豪花园店),,,,,2,2楼,,
中海月朗苑-北门 (1栋3单元10b),中海月朗苑-北门,中海月朗苑-北门 ,1栋,1栋,3单元,3单元,10,10,b,b
北站壹号办公楼 (39层),北站壹号办公楼,北站壹号办公楼,,,,,39层,39,,
芸香苑-a栋 (芸香苑m.栋602),芸香苑,芸香苑,a栋m,a栋,,,6,6,602,602
龙军工业区 (9栋3楼303室 博特利电子商务 放前台),龙军工业区,龙军工业区,9栋,9栋,,,3楼,3,303室,303
都市商务宾馆(环城路店) (三楼科翰教育16号教室),都市商务宾馆(环城路店),都市商务宾馆(环城路店) (三楼科翰教育),,,,,三楼,,,16
星河world-g座 (8楼),星河world,星河world,g座,g座,,,8楼,8,,
皇嘉商业广场 (维也纳5楼，a栋3单元711),皇嘉商业广场,皇嘉商业广场,a栋,a栋,3单元,3单元,57,7,711,711
深圳市龙岗区人民医院-住院部 (9楼),深圳市龙岗区人民医院院,深圳市龙岗区人民医院,住部,住院部,,,9楼,9,,
银湖谷-2号门 (3a1703),银湖谷2号门,银湖谷-2号门,3,3,a,a,17,17,1703,1703
民兴苑 (1栋2103),民兴苑,民兴苑 ,1栋,1栋,,,21,21,2103,2103
鸿基花园 (12栋 23i),鸿基花园,鸿基花园,栋,12栋,,,12,23,23i,i
中海锦城(东北门) (1b栋29a),中海锦城(东北门),中海锦城(东北门) ,1b栋,1b栋,,,29,29,a,a
天昊华庭-17栋 (d2  1315),天昊华庭,天昊华庭,17栋,17栋,,d2,13,13,1315,1315
龙光·玖龙玺 (h栋8楼b),龙光·玖龙玺,龙光·玖龙玺,h栋,h栋,,,8,8楼,b,b
万科第五园8期 (4栋1单元8b),万科第五园8期,万科第五园期,4栋,4栋,1单元,1单元,,8,b,b
华侨城北站壹号 (写字楼39楼),华侨城北站壹号 (写字楼),华侨城北站壹号,,,,,39楼,39,,
11001 coffee lab(壹方天地店) (11001咖啡店),11001 coffee lab(壹方天地店),11001 coffee lab(壹方天地店) ,,,,,,,01,
裕隆公寓 (上龙塘路3号，208),裕隆公寓 (上龙塘路3号),裕隆公寓(上龙塘路3号),,,,,2,2,208,208
华晖瑞禧 (2b703),华晖瑞禧,华晖瑞禧 ,2b,2,,b,7,7,703,703
龙华天虹购物中心 (1楼under armour专柜(安德玛)ｌ110),龙华天虹购物中心,龙华天虹购物中心,,,,,1,1楼,110,110
溪山美地园-北门 (邻里中心2楼能基建筑),溪山美地园-北门,溪山美地园-北门 ,,,,,2楼,2,,
星河传奇 (三期b座2308),星河传奇 (三期),星河传奇,b座,b座,,,23,23,2308,2308
雅园居小区 (雅园居1701),雅园居小区,雅园居小区 ,,,,,17,17,1701,1701
星河world·coco park (f栋  不用打电话 放外卖柜就好),星河world·coco park,星河world·coco park,f栋,f栋,,,,,外卖柜,
世纪春城三期-4栋 (1406房),世纪春城三期,世纪春城三期,4栋,4栋,,,14,14,1406房,1406
华达石场 (1),华达石场,华达石场 ,,,,,,,,
上油松邨-163号楼 (163栋4楼(便利超市对面那栋)),上油松邨,上油松邨,163号楼3栋,163号楼,,,4楼,4楼,,
雅星大厦 (5楼501),雅星大厦,雅星大厦 ,,,,,5楼,5,501,501
龙光·玖钻北区-西门 (2b3505),龙光·玖钻北区-西门,龙光·玖钻北区-西门,2b,2,,b,35,35,3505,3505
星河world三期-g2栋 (g2座),星河world三期,星河world三期,g2栋,g2栋,,,,,,
七星商业广场写字楼b栋 (12楼尚闻科技),七星商业广场写字楼,七星商业广场写字楼,b栋,b栋,,,12楼,12,,
星河world (a栋1503),星河world,星河world ,a栋,a栋,,,15,15,1503,1503
御珑苑-2栋 ((南区，美宜佳旁边楼梯上) 2号栋19ab),御珑苑,御珑苑(南区) ,2栋,2号栋,,,19,19,ab,ab
星河world5号公社 (龙岗区坂田街道雅宝路1号星河world招商中心五号公社1号门大堂),星河world5号公社 (龙岗区坂田街道雅宝路1号星河world招商中心五号公社),星河world5号公社1号门大堂,,,,,,,,
桦润馨居-南2号出入口 (b4栋3单元406),桦润馨居-南2号出入口,桦润馨居-南2号出入口,b栋,b栋,3单元,3单元,4,4,406,406
淘景商务大厦 (19层(外卖架在走廊尽头 拍个照不用打电话)),淘景商务大厦,淘景商务大厦,,,,,19层,19,,
欣欣互动 (g2座1401),欣欣互动,欣欣互动 ,g2座,g2座,,,14,14,1401,1401
美宜佳(南坑路店) (南坑路114号306),美宜佳路114号,美宜佳(南坑路店),,,,,3,3,306,306
hbc汇隆中心-北塔 (40楼),hbc汇隆中心-北塔,hbc汇隆中心-北塔 ,,,,,40楼,40,,
华南物流中心5号仓 (华南物流五号仓，42-43 阿里巴巴博丰仓 ),华南物流中心5号仓,华南物流中心5号仓,,,,,,,423,
华园-b栋 (龙岗区坂田街道五和路二巷三号b603),华园(龙岗区坂田街道五和路二巷三号),龙岗区坂田街道五和路二巷,b栋,b栋,b,,6,6,603,603
龙岸花园-2栋 (2单元23cd请放门口消防拴下鞋柜),龙岸花园,龙岸花园,2栋,,2单元,2单元,23,23,cd,cd
维也纳国际酒店(深圳北站店) (维也纳国际酒店5楼),维也纳国际酒店(深圳北站店),维也纳国际酒店(深圳北站店),,,,,5楼,5,,
坂维园-b栋 (b栋7楼),坂维园,坂维园,b栋,b栋,,,7楼,7,,
民乐统建楼 (1栋11c),民乐统建楼,民乐统建楼 ,1栋,1栋,,,11,11,c,c
新彩苑 (2号楼b座421),新彩苑,新彩苑 ,2号楼b座,2号楼b座,,,4,4,421,421
莱蒙·水榭春天5期 (17号铺朵慕造型(平安银行旁)),莱蒙·水榭春天5期,莱蒙·水榭春天5期,,,,,,,17,17号
星河world-d座 (18楼),星河world,星河world,d座,d座,,,18楼,18,,
星光之约花园 (双子座502),星光之约花园子,星光之约花园 (双子座),,,,,5,5,502,502
深扬广告招牌喷绘桁架背景 (1605栋311(五和大道南路55号)),深扬广告招牌喷绘桁架背景,深扬广告招牌喷绘桁架背景,1605栋,1605栋,,,3,,311,311
星河郡寓大堂后门美团外卖柜,星河郡寓大堂后门美团外卖柜,星河郡寓大堂后门美团,,,,,,,,外卖柜
大发埔村 (深圳市龙岗区坂田街道大发埔东村1巷3[UNK]1),深圳市龙岗区坂田街道大发埔东村1巷,大发埔村 (深圳市龙岗区坂田街道大发埔东村1巷3[UNK]1),,,,,3,,3[UNK]1,
星河worldb座 (深圳市龙岗区坂田街道雅宝路1号星河wordb栋908),星河world(深圳市龙岗区坂田街道雅宝路1号星河w,星河world,b栋,b座,,,9,9,908,908
上早新村 (b-15栋303),上早新村,上早新村,15栋,b-15栋,,,3,3,303,303
星河world tower f,星河world tow,星河world tower,erf,f,,,,,,
星美电竞(坂田店)(暂停营业) (56号机),星美电竞(坂田店)暂停营业,星美电竞(坂田店)(暂停营业) (56号机),,,,,,,,
丰泽湖山庄 (丰泽湖山庄21栋a单元101室),丰泽湖山庄,丰泽湖山庄,21栋,2栋,a单元,a单元,,1,101室,101
民乐新村-85号楼 (外面放401门口，有闭路),民乐新村,民乐新村,85号楼,85号,,,4,4,401,401
卓越皇后道 (2b单元26a),卓越皇后道,卓越皇后道,,,b单元,2b单元,226,26,,a
